question,answer,nhops,base_question,cypher,neo4j_response,evaluation,evaluation_error
the movies that share directors with the movie [The Man Who Came to Dinner] were released in which years,1942|1941|1947|1933|1932|2014|1938,3,the movies that share directors with the movie [] were released in which years,"
MATCH (yr:`year`)<-[:release_year]-(m:`movie`)-[:directed_by]->(:`director`)<-[:directed_by]-(m2:`movie` {name: 'The Man Who Came to Dinner'}) 
WHERE m <> m2 
RETURN yr LIMIT 200
","[{'yr': '1938'}, {'yr': '1941'}, {'yr': '2014'}, {'yr': '1947'}, {'yr': '1932'}, {'yr': '1942'}, {'yr': '1933'}, {'yr': '1938'}]",matched,
when did the films starred by [City of Women] actors release,1986|1987|1967|1997|1978|1977|1965|1946|1996|1973|1961|1970|1963,3,when did the films starred by [] actors release,"
MATCH (y:`year`)<-[:release_year]-(m:`movie`)-[:starred_actors]->(:`actor`)<-[:starred_actors]-(m2:`movie` {name: 'City of Women'}) 
RETURN y LIMIT 200
","[{'y': '1978'}, {'y': '1996'}, {'y': '1963'}, {'y': '1977'}, {'y': '1963'}, {'y': '1965'}, {'y': '1965'}, {'y': '1973'}, {'y': '1986'}, {'y': '1961'}, {'y': '1970'}, {'y': '1997'}, {'y': '1987'}, {'y': '1961'}, {'y': '1946'}, {'y': '1967'}]",matched,
what are the languages spoken in the films whose directors also directed [A Guy and a Gal],Swedish|French,3,what are the languages spoken in the films whose directors also directed [],"
MATCH (m:`movie` {name: 'A Guy and a Gal'})-[:directed_by]->(d:`director`)<-[:directed_by]-(m2:`movie`)-[:in_language]->(l:`language`)
RETURN l LIMIT 200
","[{'l': 'Swedish'}, {'l': 'Swedish'}, {'l': 'Swedish'}, {'l': 'Swedish'}, {'l': 'French'}]",matched,
when did the films written by [The Sniper] writers release,1949|1964|1966|1967|1961|1945|1957|1985|1951|1953|1952|1972,3,when did the films written by [] writers release,"
MATCH (m:`movie`)-[:written_by]->(w:`writer`)<-[:written_by]-(m2:`movie` {name: 'The Sniper'})-[:release_year]->(yr:`year`)
RETURN m, yr  
","[{'m': 'The Holcroft Covenant', 'yr': '1952'}, {'m': 'Becket', 'yr': '1952'}, {'m': 'The Young Savages', 'yr': '1952'}, {'m': 'The Pride and the Passion', 'yr': '1952'}, {'m': 'Jeremiah Johnson', 'yr': '1952'}, {'m': 'Hour of the Gun', 'yr': '1952'}, {'m': 'All the Brothers Were Valiant', 'yr': '1952'}, {'m': 'A Place in the Sun', 'yr': '1952'}, {'m': 'El Dorado', 'yr': '1952'}, {'m': 'Sands of Iwo Jima', 'yr': '1952'}, {'m': 'Eight Iron Men', 'yr': '1952'}, {'m': 'A Walk in the Sun', 'yr': '1952'}]",unmatched,
who are the directors of movies whose writers also wrote [A Dangerous Profession],Lloyd Bacon|Lewis Allen|Michael Curtiz|John Ford,3,who are the directors of movies whose writers also wrote [],"
MATCH (m:`movie` {name: 'A Dangerous Profession'})-[:written_by]->(w:`writer`)<-[:written_by]-(m2:`movie`)-[:directed_by]->(d:`director`)
WHERE m <> m2
RETURN d LIMIT 200
","[{'d': 'John Ford'}, {'d': 'Lloyd Bacon'}, {'d': 'Lloyd Bacon'}, {'d': 'Michael Curtiz'}, {'d': 'Lewis Allen'}]",matched,
what are the languages spoken in the movies written by [A Man Escaped] writers,French,3,what are the languages spoken in the movies written by [] writers,"
MATCH (w:`writer`)<-[:written_by]-(m:`movie` {name: 'A Man Escaped'})-[:written_by]->(w2:`writer`)<-[:written_by]-(m2:`movie`)-[:in_language]->(l:`language`)
RETURN l LIMIT 200
","[{'l': 'French'}, {'l': 'French'}, {'l': 'French'}, {'l': 'French'}, {'l': 'French'}, {'l': 'French'}]",matched,
when did the movies release whose actors also appear in the movie [Wayne's World 2],1990|1993|1992|1994|1998|2002|2001|2007|2004|2008,3,when did the movies release whose actors also appear in the movie [],"
MATCH (yr:`year`)<-[:release_year]-(m:`movie`)-[:starred_actors]->(:`actor`)<-[:starred_actors]-(m2:`movie` {name: ""Wayne's World 2""}) 
WHERE m <> m2 
RETURN yr LIMIT 200
","[{'yr': '1990'}, {'yr': '1992'}, {'yr': '1994'}, {'yr': '1994'}, {'yr': '2002'}, {'yr': '1992'}, {'yr': '2002'}, {'yr': '2001'}, {'yr': '2007'}, {'yr': '1998'}, {'yr': '2008'}, {'yr': '1993'}, {'yr': '2004'}]",matched,
who are the actors in the films written by the screenwriter of [Arsène Lupin],Joan Crawford|Ingrid Bergman|Melvyn Douglas|Conrad Veidt,3,who are the actors in the films written by the screenwriter of [],"
MATCH (m:`movie` {name: 'Arsène Lupin'})-[:written_by]->(w:`writer`)<-[:written_by]-(m2:`movie`)-[:starred_actors]->(a:`actor`) 
RETURN a LIMIT 200
","[{'a': 'Conrad Veidt'}, {'a': 'Joan Crawford'}, {'a': 'Melvyn Douglas'}, {'a': 'Ingrid Bergman'}]",matched,
what are the genres of the movies whose actors also appear in [The Calcium Kid],Drama|Comedy|Animation|War|Thriller,3,what are the genres of the movies whose actors also appear in [],"
MATCH (g:`genre`)<-[:has_genre]-(m:`movie`)-[:starred_actors]->(:`actor`)<-[:starred_actors]-(m2:`movie` {name: 'The Calcium Kid'}) 
WHERE m <> m2 
RETURN g LIMIT 200
","[{'g': 'Animation'}, {'g': 'Comedy'}, {'g': 'War'}, {'g': 'Drama'}, {'g': 'Thriller'}, {'g': 'Drama'}]",matched,
who starred films for the director of [The Double],Noah Taylor|Yasmin Paige|Craig Roberts|Paddy Considine,3,who starred films for the director of [],,[],error,"Traceback (most recent call last):
  File ""C:\Users\milishah\AppData\Local\Temp\ipykernel_21348\1793241463.py"", line 8, in _correct_row
    row[""neo4j_response""] = query_neo4j_with_cypher(row[""cypher""], None, KG)
                            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\milishah\projects\AS.Explorations\cypher-generation\prepare_evaluation_metaqa.py"", line 82, in query_neo4j_with_cypher
    parsed_neo4j_response = parse_neo4j_response_dict5(neo4j_response)
                            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\milishah\projects\AS.Explorations\cypher-generation\neo4j_processors\neo4j_parsers.py"", line 157, in parse_neo4j_response_dict5
    for record in response:
TypeError: 'NoneType' object is not iterable
"
when did the movies written by [Scooby-Doo] writers release,1996|1978|1973|2000|2006|1950|2004|2014|2010|2013,3,when did the movies written by [] writers release,"
MATCH (w:`writer`)<-[:written_by]-(m1:`movie` {name: 'Scooby-Doo'})-[:written_by]->(w2:`writer`)<-[:written_by]-(m2:`movie`)-[:release_year]->(yr:`year`)
RETURN m2.name, yr  
",[],unmatched,
what genres do the films that share writers with [Carla's Song] fall under,Drama|War|Thriller,3,what genres do the films that share writers with [] fall under,"
MATCH (g:`genre`)<-[:has_genre]-(m:`movie`)-[:written_by]->(:`writer`)<-[:written_by]-(m2:`movie` {name: ""Carla's Song""}) 
WHERE m <> m2 
RETURN g LIMIT 200
","[{'g': 'Thriller'}, {'g': 'Drama'}, {'g': 'Thriller'}, {'g': 'War'}, {'g': 'Drama'}, {'g': 'Drama'}]",matched,
what were the release years of the films that share actors with the film [The Kidnapping of the President],1962|1948|1949|1968|1983|1942|1943|1966|1946|1944|1963|2011|1955|1954|1957|1956|1951|1936|1953|1952|1982|1959|1993|1977|1999|1975|1974|1972|1964|2000|2001|2007|2004|2009|1950,3,what were the release years of the films that share actors with the film [],"
MATCH (yr:`year`)<-[:release_year]-(m:`movie`)-[:starred_actors]->(:`actor`)<-[:starred_actors]-(m2:`movie` {name: 'The Kidnapping of the President'}) 
WHERE m <> m2 
RETURN yr LIMIT 200
","[{'yr': '1959'}, {'yr': '1954'}, {'yr': '1963'}, {'yr': '1968'}, {'yr': '1954'}, {'yr': '1949'}, {'yr': '1953'}, {'yr': '1944'}, {'yr': '1952'}, {'yr': '1949'}, {'yr': '1942'}, {'yr': '1956'}, {'yr': '1950'}, {'yr': '1943'}, {'yr': '1951'}, {'yr': '1953'}, {'yr': '1955'}, {'yr': '1999'}, {'yr': '1948'}, {'yr': '1954'}, {'yr': '1946'}, {'yr': '1964'}, {'yr': '1956'}, {'yr': '2000'}, {'yr': '1959'}, {'yr': '1949'}, {'yr': '1953'}, {'yr': '1954'}, {'yr': '1957'}, {'yr': '2007'}, {'yr': '1964'}, {'yr': '1968'}, {'yr': '1936'}, {'yr': '1949'}, {'yr': '1956'}, {'yr': '1951'}, {'yr': '1952'}, {'yr': '2011'}, {'yr': '1949'}, {'yr': '1974'}, {'yr': '1953'}, {'yr': '1951'}, {'yr': '1936'}, {'yr': '1951'}, {'yr': '1964'}, {'yr': '1963'}, {'yr': '1983'}, {'yr': '1982'}, {'yr': '2001'}, {'yr': '1972'}, {'yr': '1993'}, {'yr': '2009'}, {'yr': '1968'}, {'yr': '2011'}, {'yr': '1975'}, {'yr': '1962'}, {'yr': '2004'}, {'yr': '1966'}, {'yr': '1977'}, {'yr': '1974'}, {'yr': '1982'}]",matched,
who wrote movies that share actors with the movie [The Unsaid],Raymond De Felitta|Jieho Lee|Stephen P. Lindsey|Maurice Hatton|Bob DeRosa|Luis Ugaz,3,who wrote movies that share actors with the movie [],"
MATCH (w:`writer`)<-[:written_by]-(m:`movie`)-[:starred_actors]->(:`actor`)<-[:starred_actors]-(m2:`movie` {name: 'The Unsaid'}) 
WHERE m <> m2 
RETURN w LIMIT 200
","[{'w': 'Jieho Lee'}, {'w': 'Bob DeRosa'}, {'w': 'Maurice Hatton'}, {'w': 'Raymond De Felitta'}, {'w': 'Luis Ugaz'}, {'w': 'Stephen P. Lindsey'}]",matched,
what are the primary languages in the movies written by the writer of [A Civil Action],Swedish|German|Irish|Polish,3,what are the primary languages in the movies written by the writer of [],"
MATCH (m:`movie` {name: 'A Civil Action'})-[:written_by]->(w:`writer`)<-[:written_by]-(m2:`movie`)-[:in_language]->(l:`language`)
RETURN l LIMIT 200
","[{'l': 'Swedish'}, {'l': 'Polish'}, {'l': 'German'}, {'l': 'Irish'}]",matched,
the films that share actors with the film [Scenic Route] were released in which years,2002|2006|2007|2004|2009|2010|2012,3,the films that share actors with the film [] were released in which years,"
MATCH (yr:`year`)<-[:release_year]-(m:`movie`)-[:starred_actors]->(:`actor`)<-[:starred_actors]-(m2:`movie` {name: 'Scenic Route'}) 
WHERE m <> m2 
RETURN yr LIMIT 200
","[{'yr': '2009'}, {'yr': '2007'}, {'yr': '2006'}, {'yr': '2012'}, {'yr': '2007'}, {'yr': '2010'}, {'yr': '2004'}, {'yr': '2002'}, {'yr': '2010'}]",matched,
when did the films release whose screenwriters also wrote [Stomp the Yard],2000,3,when did the films release whose screenwriters also wrote [],"
MATCH (y:`year`)<-[:release_year]-(m:`movie`)-[:written_by]->(:`writer`)<-[:written_by]-(m2:`movie` {name: 'Stomp the Yard'}) 
WHERE m <> m2 
RETURN y LIMIT 200
",[{'y': '2000'}],matched,
who acted in the movies written by the writer of [American Gigolo],Nicolas Cage|Peter Boyle|Gina Gershon|Season Hubley|Richard Pryor|Nick Nolte|John Lithgow|Willem Dafoe|Ving Rhames|Michael J. Fox|Gena Rowlands|Tommy Lee Jones|George C. Scott|Geneviève Bujold|Susan Sarandon|Gretchen Mol|Yaphet Kotto|Cliff Robertson|Joseph Fiennes|Joan Jett|Robert De Niro|William Devane|Patricia Arquette|Dana Delany|Harvey Keitel|John Goodman|Joe Pesci|Frank Vincent|Cathy Moriarty|Ray Liotta,3,who acted in the movies written by the writer of [],"
MATCH (w:`writer`)<-[:written_by]-(m:`movie` {name: 'American Gigolo'})-[:written_by]->(w2:`writer`)<-[:written_by]-(m2:`movie`)-[:starred_actors]->(a:`actor`)
RETURN a  
",[],unmatched,
what are the primary languages in the films starred by actors in [City of Women],Russian|Portuguese|English|French|Italian,3,what are the primary languages in the films starred by actors in [],"
MATCH (m:`movie` {name: 'City of Women'})-[:starred_actors]->(a:`actor`)<-[:starred_actors]-(m2:`movie`)-[:in_language]->(l:`language`)
RETURN DISTINCT l LIMIT 200
","[{'l': 'English'}, {'l': 'French'}, {'l': 'Italian'}, {'l': 'Portuguese'}, {'l': 'Russian'}]",matched,
what are the genres of the movies whose writers also wrote [The Informant!],Action|Thriller,3,what are the genres of the movies whose writers also wrote [],"
MATCH (m:`movie` {name: 'The Informant!'})-[:written_by]->(w:`writer`)<-[:written_by]-(m2:`movie`)-[:has_genre]->(g:`genre`)
WHERE m <> m2
RETURN g LIMIT 200
","[{'g': 'Thriller'}, {'g': 'Thriller'}, {'g': 'Thriller'}, {'g': 'Action'}]",matched,
"what were the release dates of films written by the screenwriter of [Ah, Wilderness!]",1948|1940|1973|1947|1963|1933|1930|1958,3,what were the release dates of films written by the screenwriter of [],"
MATCH (m:`movie` {name: 'Ah, Wilderness!'})-[:written_by]->(w:`writer`)<-[:written_by]-(m2:`movie`)-[:release_year]->(yr:`year`)
RETURN m2.name as Movie, yr.name as Release_Year LIMIT 200
","[{'Movie': 'Mourning Becomes Electra', 'Release_Year': '1947'}, {'Movie': 'The Iceman Cometh', 'Release_Year': '1973'}, {'Movie': 'Summer Holiday', 'Release_Year': '1948'}, {'Movie': 'Summer Holiday', 'Release_Year': '1963'}, {'Movie': 'Desire Under the Elms', 'Release_Year': '1958'}, {'Movie': 'The Long Voyage Home', 'Release_Year': '1940'}, {'Movie': 'The Emperor Jones', 'Release_Year': '1933'}, {'Movie': 'Anna Christie', 'Release_Year': '1930'}]",matched,
what types are the movies written by the writer of [My Family],Drama|Biography,3,what types are the movies written by the writer of [],"
MATCH (m:`movie` {name: 'My Family'})-[:written_by]->(w:`writer`)<-[:written_by]-(m2:`movie`)-[:has_genre]->(g:`genre`)
RETURN DISTINCT g LIMIT 200
","[{'g': 'Biography'}, {'g': 'Drama'}]",matched,
what are the genres of the movies whose directors also directed [How Green Was My Valley],Crime|Drama|Western|Action|Comedy|War|Adventure,3,what are the genres of the movies whose directors also directed [],"
MATCH (m:`movie`)-[:has_genre]->(g:`genre`)<-[:has_genre]-(m2:`movie`)-[:directed_by]->(d:`director`)<-[:directed_by]-(m3:`movie` {name: 'How Green Was My Valley'}) 
WHERE m <> m3 
RETURN DISTINCT g LIMIT 200
","[{'g': 'Western'}, {'g': 'Drama'}, {'g': 'Action'}, {'g': 'Adventure'}, {'g': 'Comedy'}, {'g': 'War'}, {'g': 'Crime'}]",matched,
who are the actors in the movies directed by the director of [The Hot Rock],Peter Boyle|D.B. Sweeney|Kelly McGillis|Lauri Peters|Steve McQueen|Edward Fox|Tom Selleck|William Hurt|Una Stubbs|John Mahoney|John Lithgow|Liam Neeson|Bob Hoskins|Cliff Richard|Ken Marshall|Zena Walker|Albert Finney|Robert Vaughn|Lysette Anthony|Frank Morgan|Julianne Moore|Peter Falk|Peter O'Toole|Orson Welles|Louis Jourdan|Mandy Patinkin|Gloria DeHaven|Robert Shaw|Nick Nolte|Jacqueline Bisset|Daniel Stern|Sigourney Weaver|Christopher Plummer|Isabella Rossellini|Robert Mitchum|Penelope Ann Miller|Melvyn Hayes|Cher|Mickey Rooney|Jeff Daniels|Tim Daly|Dennis Christopher|Walter Huston|Jessica Tandy|Jackie Earle Haley|Matt Keeslar|Dennis Quaid|Tom Courtenay,3,who are the actors in the movies directed by the director of [],"
MATCH (m:`movie` {name: 'The Hot Rock'})-[:directed_by]->(d:`director`)<-[:directed_by]-(m2:`movie`)-[:starred_actors]->(a:`actor`) 
RETURN a LIMIT 200
","[{'a': 'Jacqueline Bisset'}, {'a': 'Robert Shaw'}, {'a': 'Nick Nolte'}, {'a': 'Cher'}, {'a': 'John Mahoney'}, {'a': 'Dennis Quaid'}, {'a': 'Liam Neeson'}, {'a': 'William Hurt'}, {'a': 'Christopher Plummer'}, {'a': 'Sigourney Weaver'}, {'a': 'D.B. Sweeney'}, {'a': 'Peter Falk'}, {'a': 'Julianne Moore'}, {'a': 'Zena Walker'}, {'a': 'Tom Courtenay'}, {'a': 'Edward Fox'}, {'a': 'Albert Finney'}, {'a': 'Robert Mitchum'}, {'a': 'Peter Boyle'}, {'a': 'Orson Welles'}, {'a': 'Isabella Rossellini'}, {'a': 'Bob Hoskins'}, {'a': 'John Lithgow'}, {'a': 'Jessica Tandy'}, {'a': 'Mandy Patinkin'}, {'a': 'Kelly McGillis'}, {'a': 'Jeff Daniels'}, {'a': 'Tom Selleck'}, {'a': 'Ken Marshall'}, {'a': 'Lysette Anthony'}, {'a': 'Gloria DeHaven'}, {'a': 'Walter Huston'}, {'a': 'Frank Morgan'}, {'a': 'Mickey Rooney'}, {'a': 'Melvyn Hayes'}, {'a': 'Una Stubbs'}, {'a': 'Cliff Richard'}, {'a': 'Lauri Peters'}, {'a': 'Dennis Christopher'}, {'a': 'Jackie Earle Haley'}, {'a': 'Daniel Stern'}, {'a': 'Dennis Quaid'}, {'a': ""Peter O'Toole""}, {'a': 'Matt Keeslar'}, {'a': 'Albert Finney'}, {'a': 'Robert Vaughn'}, {'a': 'Jacqueline Bisset'}, {'a': 'Steve McQueen'}, {'a': 'Tim Daly'}, {'a': 'Louis Jourdan'}, {'a': 'Penelope Ann Miller'}]",matched,
the films that share directors with the film [300] were in which languages,English,3,the films that share directors with the film [] were in which languages,"
MATCH (lang:`language`)<-[:in_language]-(m:`movie`)-[:directed_by]->(:`director`)<-[:directed_by]-(m2:`movie` {name: '300'}) 
WHERE m <> m2 
RETURN lang LIMIT 200
",[{'lang': 'English'}],matched,
what are the languages spoken in the movies starred by [Cop] actors,Italian,3,what are the languages spoken in the movies starred by [] actors,"
MATCH (a:`actor`)<-[:starred_actors]-(m:`movie`)-[:in_language]->(l:`language`)
WHERE toLower(a.name) CONTAINS 'cop' 
RETURN DISTINCT l  
","[{'l': 'Korean'}, {'l': 'Italian'}]",matched,
what languages are the movies that share directors with [Clockers] in,German|Korean|Italian,3,what languages are the movies that share directors with [] in,"
MATCH (l:`language`)<-[:in_language]-(m:`movie`)-[:directed_by]->(:`director`)<-[:directed_by]-(m2:`movie` {name: 'Clockers'}) 
WHERE m <> m2 
RETURN l LIMIT 200
","[{'l': 'Korean'}, {'l': 'Italian'}, {'l': 'German'}]",matched,
when did the movies release whose directors also directed [Inhale],1977|2002|2000|2006|2005|2013|2012,3,when did the movies release whose directors also directed [],"
MATCH (y:`year`)<-[:release_year]-(m:`movie`)-[:directed_by]->(:`director`)<-[:directed_by]-(m2:`movie` {name: 'Inhale'}) 
WHERE m <> m2 
RETURN y LIMIT 200
","[{'y': '2002'}, {'y': '2005'}, {'y': '2013'}, {'y': '2012'}, {'y': '2000'}, {'y': '2006'}, {'y': '1977'}, {'y': '2012'}]",matched,
who are the directors that the actors in their films also appear in the film [Up Periscope],Marvin J. Chomsky|Joshua Logan|Raoul Walsh|Joseph M. Newman|Bernard McEveety|Joseph L. Mankiewicz|Frank Tashlin|John Frankenheimer|János Szász|George Seaton|Richard Donner|Aleksandr Gordon|Michael Anderson|Michael Gordon|Vincent McEveety|Don Siegel|James Wan|Glenn Jordan|Andrei Tarkovsky|Nick Cassavetes|Vincent Sherman|Arthur Hiller|Burt Kennedy|Martin Ritt|Delbert Mann|Clint Eastwood|Vic Morrow|Marika Beiku|Rocky Morton|John Sturges|Ralph Nelson|James Goldstone|Blake Edwards|Tony Scott|Robert Siodmak|Richard Fleischer|Norman Jewison|William Wyler|Hubert Cornfield|Rudolph Maté|Annabel Jankel|Paul Bogart,3,who are the directors that the actors in their films also appear in the film [],"
MATCH (d:`director`)<-[:directed_by]-(m:`movie`)-[:starred_actors]->(a:`actor`)<-[:starred_actors]-(m2:`movie` {name: 'Up Periscope'}) 
RETURN DISTINCT d LIMIT 200
","[{'d': 'Robert Siodmak'}, {'d': 'Don Siegel'}, {'d': 'Marika Beiku'}, {'d': 'Aleksandr Gordon'}, {'d': 'Andrei Tarkovsky'}, {'d': 'Frank Tashlin'}, {'d': 'Joseph L. Mankiewicz'}, {'d': 'Raoul Walsh'}, {'d': 'Joseph M. Newman'}, {'d': 'Hubert Cornfield'}, {'d': 'Richard Fleischer'}, {'d': 'Michael Anderson'}, {'d': 'Vincent Sherman'}, {'d': 'Rocky Morton'}, {'d': 'Annabel Jankel'}, {'d': 'Rudolph Maté'}, {'d': 'Martin Ritt'}, {'d': 'William Wyler'}, {'d': 'Michael Gordon'}, {'d': 'Tony Scott'}, {'d': 'Arthur Hiller'}, {'d': 'James Wan'}, {'d': 'Joshua Logan'}, {'d': 'George Seaton'}, {'d': 'Vincent McEveety'}, {'d': 'Vic Morrow'}, {'d': 'John Sturges'}, {'d': 'Paul Bogart'}, {'d': 'Glenn Jordan'}, {'d': 'Ralph Nelson'}, {'d': 'Marvin J. Chomsky'}, {'d': 'Richard Donner'}, {'d': 'Delbert Mann'}, {'d': 'James Goldstone'}, {'d': 'Burt Kennedy'}, {'d': 'Bernard McEveety'}, {'d': 'Blake Edwards'}, {'d': 'Norman Jewison'}, {'d': 'Nick Cassavetes'}, {'d': 'János Szász'}, {'d': 'Clint Eastwood'}, {'d': 'John Frankenheimer'}]",matched,
what were the release dates of movies written by the writer of [Day Watch],2004,3,what were the release dates of movies written by the writer of [],"
MATCH (m:`movie` {name: 'Day Watch'})-[:written_by]->(w:`writer`)<-[:written_by]-(m2:`movie`)-[:release_year]->(yr:`year`)
RETURN m2.name as Movie, yr.name as Release_Year LIMIT 200
","[{'Movie': 'Night Watch', 'Release_Year': '2004'}]",matched,
who is listed as screenwriter of the films directed by the [A Bug's Life] director,Ben Queen|Alec Sokolow|Pete Docter|Andrew Stanton|Edgar Rice Burroughs|Bonnie Hunt|Joel Cohen|Ash Brannon|Brad Lewis|John Lasseter|Mark Andrews|Joe Ranft|Joss Whedon|Michael Chabon,3,who is listed as screenwriter of the films directed by the [] director,"
MATCH (d:`director`)<-[:directed_by]-(m:`movie` {name: ""A Bug's Life""})-[:directed_by]->(d2:`director`)<-[:directed_by]-(m2:`movie`)-[:written_by]->(w:`writer`)
RETURN w LIMIT 200
","[{'w': 'Edgar Rice Burroughs'}, {'w': 'Mark Andrews'}, {'w': 'Michael Chabon'}, {'w': 'Andrew Stanton'}, {'w': 'Andrew Stanton'}, {'w': 'Ben Queen'}, {'w': 'Brad Lewis'}, {'w': 'John Lasseter'}, {'w': 'Alec Sokolow'}, {'w': 'Joel Cohen'}, {'w': 'John Lasseter'}, {'w': 'Joss Whedon'}, {'w': 'Pete Docter'}, {'w': 'Andrew Stanton'}, {'w': 'Bonnie Hunt'}, {'w': 'Joe Ranft'}, {'w': 'John Lasseter'}, {'w': 'Ash Brannon'}, {'w': 'John Lasseter'}]",matched,
who is listed as screenwriter of the films starred by [Identity] actors,Stephen King|Cameron Crowe|Gene Quintano|John Grisham|Grace Duffie Boylan|John Berendt|Richard Russo|Charlie Kaufman|John Darrouzet|Claire Cook|Peter O'Fallon|Ramón Menéndez|Jonathan Roberts|Bruce Wagner|Stephen Mazur|Richard Herley|Dibakar Banerjee|Jim Kouf|Bill Fishman|Ariel Vromen|Mitchell Kapner|Kevin Wade|James Mangold|Jody Hill|Marc Klein|Robert Benton|David Grovic|Edgar Allan Poe|Savage Steve Holland|Waymon Boone|John Cusack|Jim Thompson|Nick Hornby|Scott Walker|Tom Musca|Peter Tolan|Scott Phillips|Billy Crystal|Richard Matheson|Guy Bolton|Gary David Goldberg|Carol Sobieski|Mark Bowden|Stephen Katz|Morgan O'Neill|Paul Guay|T. Coraghessan Boyle|Alan Parker|Robert Dunn|Paul Schrader|Nicholas Pileggi|Martin Scorsese|Hannah Shakespeare|Ulli Lommel|Paul Conway|Lee Daniels|Phil Alden Robinson|Roland Emmerich|Donald E. Westlake|Ben Livingston|Joe Carnahan|Marcelle Maurette|Ron Cutler|Peter McCarthy|Guy Ritchie|James Russo,3,who is listed as screenwriter of the films starred by [] actors,"
MATCH (m:`movie`)-[:starred_actors]->(a:`actor`)<-[:starred_actors]-(m2:`movie` {name: 'Identity'})-[:written_by]->(w:`writer`)
RETURN w  
","[{'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}, {'w': 'Michael Cooney'}]",unmatched,
what were the release years of the movies that share screenwriters with the movie [Another Earth],2014|2011|2007|2013,3,what were the release years of the movies that share screenwriters with the movie [],"
MATCH (yr:`year`)<-[:release_year]-(m:`movie`)-[:written_by]->(:`writer`)<-[:written_by]-(m2:`movie` {name: 'Another Earth'}) 
WHERE m <> m2 
RETURN yr LIMIT 200
","[{'yr': '2011'}, {'yr': '2013'}, {'yr': '2007'}, {'yr': '2014'}]",matched,
the films that share directors with the film [Darkness Falls] were released in which years,2014|2009|2012|1990,3,the films that share directors with the film [] were released in which years,"
MATCH (yr:`year`)<-[:release_year]-(m:`movie`)-[:directed_by]->(:`director`)<-[:directed_by]-(m2:`movie` {name: 'Darkness Falls'}) 
WHERE m <> m2 
RETURN yr LIMIT 200
","[{'yr': '2012'}, {'yr': '2014'}, {'yr': '1990'}, {'yr': '2009'}]",matched,
the films written by the writer of [The Merchant of Venice] starred who,John Hurt|Suzanna Hamilton|Cyril Cusack|Richard Burton,3,the films written by the writer of [] starred who,"
MATCH (w:`writer`)<-[:written_by]-(m:`movie` {name: 'The Merchant of Venice'})-[:written_by]->(w2:`writer`)<-[:written_by]-(m2:`movie`)-[:starred_actors]->(a:`actor`)
RETURN a  
",[],unmatched,
