question,answer,nhops,base_question,cypher,neo4j_response,evaluation,evaluation_error
who are film co-directors of [Deb Hagan],Buster Keaton|James W. Horne,2,who are film co-directors of [],"
MATCH (debDirector:`director`)<-[:directed_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:directed_by]->(coDirector:`director`) 
WHERE toLower(debDirector.name)='deb hagan' 
AND debDirector <> coDirector 
RETURN coDirector LIMIT 200
","[{'coDirector': 'James W. Horne'}, {'coDirector': 'Buster Keaton'}]",matched,
which person wrote the films directed by [Harold French],W. Somerset Maugham,2,which person wrote the films directed by [],"
MATCH (haroldDirector:`director`)<-[:directed_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:written_by]->(writer:`writer`) 
WHERE toLower(haroldDirector.name)='harold french' 
RETURN writer LIMIT 200
",[{'writer': 'W. Somerset Maugham'}],matched,
what languages are the films starred by [Renée Le Calm] in,French,2,what languages are the films starred by [] in,"
MATCH (reneeActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(reneeActor.name)='renée le calm' 
RETURN language LIMIT 200
",[{'language': 'French'}],matched,
who starred in the movies written by [Langdon Mitchell],Miriam Hopkins|Billie Burke|Cedric Hardwicke|Frances Dee,2,who starred in the movies written by [],"
MATCH (langdonWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:starred_actors]->(actor:`actor`) 
WHERE toLower(langdonWriter.name)='langdon mitchell' 
RETURN actor LIMIT 200
","[{'actor': 'Frances Dee'}, {'actor': 'Billie Burke'}, {'actor': 'Miriam Hopkins'}, {'actor': 'Cedric Hardwicke'}]",matched,
what are the main languages in [Hristos Passalis] acted films,Greek,2,what are the main languages in [] acted films,"
MATCH (hristosActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(hristosActor.name)='hristos passalis' 
RETURN language LIMIT 200
",[{'language': 'Greek'}],matched,
who acted in the films written by [Damion Dietz],Paul Preiss,2,who acted in the films written by [],"
MATCH (damionWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:starred_actors]->(actor:`actor`) 
WHERE toLower(damionWriter.name)='damion dietz' 
RETURN actor LIMIT 200
",[{'actor': 'Paul Preiss'}],matched,
what genres are the movies acted by [Tim Meadows] in,Comedy,2,what genres are the movies acted by [] in,"
MATCH (timActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(timActor.name)='tim meadows' 
RETURN genre LIMIT 200
","[{'genre': 'Comedy'}, {'genre': 'Comedy'}]",matched,
what languages are the movies written by [John H. Lee] in,Korean,2,what languages are the movies written by [] in,"
MATCH (johnWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(johnWriter.name)='john h. lee' 
RETURN language LIMIT 200
",[{'language': 'Korean'}],matched,
the movies starred by [Annie Girardot] were in which languages,Italian,2,the movies starred by [] were in which languages,"
MATCH (annieActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(annieActor.name)='annie girardot' 
RETURN language LIMIT 200
",[{'language': 'Italian'}],matched,
the films directed by [Carl Lerner] were released in which years,1964,2,the films directed by [] were released in which years,"
MATCH (carlDirector:`director`)<-[:directed_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(carlDirector.name)='carl lerner' 
RETURN year LIMIT 200
",[{'year': '1964'}],matched,
who directed films together with [Madhur Jaffrey],Ismail Merchant,2,who directed films together with [],"
MATCH (madhurActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:directed_by]->(director:`director`) 
WHERE toLower(madhurActor.name)='madhur jaffrey' 
RETURN director LIMIT 200
","[{'director': 'Zafar Hai'}, {'director': 'Madhur Jaffrey'}, {'director': 'Ismail Merchant'}]",matched,
what were the release years the films starred by [William S. Hart],1916,2,what were the release years the films starred by [],"
MATCH (williamActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(williamActor.name)='william s. hart' 
RETURN year LIMIT 200
",[{'year': '1916'}],matched,
the films written by [Hayao Miyazaki] were in which languages,Japanese,2,the films written by [] were in which languages,"
MATCH (miyazakiWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(miyazakiWriter.name)='hayao miyazaki' 
RETURN language LIMIT 200
","[{'language': 'Japanese'}, {'language': 'Japanese'}, {'language': 'Japanese'}, {'language': 'Japanese'}, {'language': 'Japanese'}, {'language': 'Japanese'}, {'language': 'Japanese'}, {'language': 'Japanese'}, {'language': 'Japanese'}, {'language': 'Japanese'}, {'language': 'Japanese'}, {'language': 'Japanese'}, {'language': 'Japanese'}]",matched,
the films acted by [Jeff Daniel Phillips] were released in which years,2012,2,the films acted by [] were released in which years,"
MATCH (jeffActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(jeffActor.name)='jeff daniel phillips' 
RETURN year LIMIT 200
",[{'year': '2012'}],matched,
which films have the same screenwriter of [House of Bamboo],Merrill's Marauders|The Big Red One|I Shot Jesse James|Fixed Bayonets!|The Baron of Arizona|Park Row|Pickup on South Street|Forty Guns|White Dog|Fantastic Voyage|Underworld U.S.A.|The Steel Helmet|The Crimson Kimono|The Deadly Trackers|Verboten!|The Naked Kiss|Shock Corridor|Carmen Jones|Run of the Arrow|Scandal Sheet|Bullitt,2,which films have the same screenwriter of [],"
MATCH (houseMovie:`movie`)-[:written_by]->(screenwriter:`writer`) 
MATCH (screenwriter:`writer`)<-[:written_by]-(otherMovie:`movie`) 
WHERE toLower(houseMovie.name)='house of bamboo' 
AND houseMovie <> otherMovie 
RETURN otherMovie LIMIT 200
","[{'otherMovie': 'Scandal Sheet'}, {'otherMovie': 'Shock Corridor'}, {'otherMovie': 'The Deadly Trackers'}, {'otherMovie': 'The Crimson Kimono'}, {'otherMovie': 'Pickup on South Street'}, {'otherMovie': 'The Naked Kiss'}, {'otherMovie': 'Verboten!'}, {'otherMovie': 'White Dog'}, {'otherMovie': 'Park Row'}, {'otherMovie': 'Forty Guns'}, {'otherMovie': 'I Shot Jesse James'}, {'otherMovie': 'Underworld U.S.A.'}, {'otherMovie': 'The Baron of Arizona'}, {'otherMovie': 'The Steel Helmet'}, {'otherMovie': 'The Big Red One'}, {'otherMovie': 'Run of the Arrow'}, {'otherMovie': 'Fixed Bayonets!'}, {'otherMovie': ""Merrill's Marauders""}, {'otherMovie': 'Carmen Jones'}, {'otherMovie': 'Fantastic Voyage'}, {'otherMovie': 'Bullitt'}]",matched,
which movies have the same actor of [Paradise Canyon],Rio Lobo|Texas Terror|Seven Sinners|The Shootist|The Undefeated|Hellfighters|Hondo|Operation Pacific|The Wings of Eagles|The Man Who Shot Liberty Valance|Rio Bravo|Westward Ho|Rainbow Valley|Reunion in France|The Spoilers|Wake of the Red Witch|The War Wagon|Idol of the Crowds|West of the Divide|The Alamo|The Big Stampede|The High and the Mighty|Cahill U.S. Marshal|Dakota|McLintock!|The Man from Utah|The Sons of Katie Elder|The Comancheros|The Sea Chase|Flying Leathernecks|Flying Tigers|Hatari!|Rio Grande|Tycoon|Dark Command|Big Jake|Allegheny Uprising|Pittsburgh|Fort Apache|The Green Berets|Rooster Cogburn|The Shepherd of the Hills|A Lady Takes a Chance|The Man from Monterey|Legend of the Lost|Blood Alley|Reap the Wild Wind|Born to the West|Riders of Destiny|The Long Voyage Home|Sagebrush Trail|His Private Secretary|Stagecoach|The Lawless Frontier|Back to Bataan|North to Alaska|McQ|Big Jim McLain|Winds of the Wasteland|The Quiet Man|She Wore a Yellow Ribbon|In Old Oklahoma|In Old California|Sands of Iwo Jima|The Conqueror|Brannigan|Angel and the Badman|The Cowboys|El Dorado|Blue Steel|'Neath the Arizona Skies|Jet Pilot|The Searchers|Red River|Lawless Range|The Hurricane Express|The Shadow of the Eagle|They Were Expendable|True Grit|Tall in the Saddle|The Star Packer|The Horse Soldiers|The Trail Beyond|The Train Robbers|Chisum|The Big Trail|The Lucky Texan|Flame of Barbary Coast|The Desert Trail|Donovan's Reef|The Fighting Seabees|In Harm's Way|The Dawn Rider,2,which movies have the same actor of [],"
MATCH (paradiseCanyon:`movie`)-[:starred_actors]->(actor:`actor`) 
MATCH (actor:`actor`)<-[:starred_actors]-(otherMovie:`movie`) 
WHERE toLower(paradiseCanyon.name)='paradise canyon' 
AND paradiseCanyon <> otherMovie 
RETURN otherMovie LIMIT 200
","[{'otherMovie': 'Rio Grande'}, {'otherMovie': 'Brannigan'}, {'otherMovie': 'Flame of Barbary Coast'}, {'otherMovie': 'Red River'}, {'otherMovie': 'Rooster Cogburn'}, {'otherMovie': 'The High and the Mighty'}, {'otherMovie': 'The Shepherd of the Hills'}, {'otherMovie': 'The Desert Trail'}, {'otherMovie': 'Tycoon'}, {'otherMovie': 'The Man from Monterey'}, {'otherMovie': 'Operation Pacific'}, {'otherMovie': 'Hellfighters'}, {'otherMovie': 'The Man from Utah'}, {'otherMovie': 'Dark Command'}, {'otherMovie': 'Tall in the Saddle'}, {'otherMovie': 'Blood Alley'}, {'otherMovie': 'Wake of the Red Witch'}, {'otherMovie': 'The Train Robbers'}, {'otherMovie': 'Big Jake'}, {'otherMovie': 'The Trail Beyond'}, {'otherMovie': 'Reunion in France'}, {'otherMovie': 'The Shootist'}, {'otherMovie': 'Allegheny Uprising'}, {'otherMovie': ""'Neath the Arizona Skies""}, {'otherMovie': 'In Old Oklahoma'}, {'otherMovie': 'Rainbow Valley'}, {'otherMovie': 'The Horse Soldiers'}, {'otherMovie': 'Hatari!'}, {'otherMovie': 'Sagebrush Trail'}, {'otherMovie': 'McQ'}, {'otherMovie': 'The Big Stampede'}, {'otherMovie': 'Cahill U.S. Marshal'}, {'otherMovie': 'Flying Tigers'}, {'otherMovie': 'Dakota'}, {'otherMovie': 'North to Alaska'}, {'otherMovie': 'Legend of the Lost'}, {'otherMovie': 'The Spoilers'}, {'otherMovie': 'The War Wagon'}, {'otherMovie': 'The Lucky Texan'}, {'otherMovie': 'A Lady Takes a Chance'}, {'otherMovie': 'Flying Leathernecks'}, {'otherMovie': 'The Quiet Man'}, {'otherMovie': ""Donovan's Reef""}, {'otherMovie': 'The Man Who Shot Liberty Valance'}, {'otherMovie': 'The Big Trail'}, {'otherMovie': 'The Lawless Frontier'}, {'otherMovie': 'The Fighting Seabees'}, {'otherMovie': 'The Green Berets'}, {'otherMovie': 'Jet Pilot'}, {'otherMovie': 'The Comancheros'}, {'otherMovie': 'Reap the Wild Wind'}, {'otherMovie': 'The Shadow of the Eagle'}, {'otherMovie': 'The Long Voyage Home'}, {'otherMovie': 'Angel and the Badman'}, {'otherMovie': 'Big Jim McLain'}, {'otherMovie': 'The Conqueror'}, {'otherMovie': 'In Old California'}, {'otherMovie': ""In Harm's Way""}, {'otherMovie': 'Idol of the Crowds'}, {'otherMovie': 'Chisum'}, {'otherMovie': 'Winds of the Wasteland'}, {'otherMovie': 'Stagecoach'}, {'otherMovie': 'The Cowboys'}, {'otherMovie': 'McLintock!'}, {'otherMovie': 'Blue Steel'}, {'otherMovie': 'Lawless Range'}, {'otherMovie': 'Hondo'}, {'otherMovie': 'The Undefeated'}, {'otherMovie': 'The Sea Chase'}, {'otherMovie': 'Born to the West'}, {'otherMovie': 'Texas Terror'}, {'otherMovie': 'El Dorado'}, {'otherMovie': 'West of the Divide'}, {'otherMovie': 'Back to Bataan'}, {'otherMovie': 'They Were Expendable'}, {'otherMovie': 'The Wings of Eagles'}, {'otherMovie': 'True Grit'}, {'otherMovie': 'The Alamo'}, {'otherMovie': 'The Hurricane Express'}, {'otherMovie': 'She Wore a Yellow Ribbon'}, {'otherMovie': 'Sands of Iwo Jima'}, {'otherMovie': 'Westward Ho'}, {'otherMovie': 'The Dawn Rider'}, {'otherMovie': 'Fort Apache'}, {'otherMovie': 'The Searchers'}, {'otherMovie': 'Pittsburgh'}, {'otherMovie': 'The Sons of Katie Elder'}, {'otherMovie': 'Riders of Destiny'}, {'otherMovie': 'His Private Secretary'}, {'otherMovie': 'The Star Packer'}, {'otherMovie': 'Rio Bravo'}, {'otherMovie': 'Rio Lobo'}, {'otherMovie': 'Seven Sinners'}]",matched,
what are the languages spoken in the movies directed by [Sylvester Stallone],Burmese,2,what are the languages spoken in the movies directed by [],"
MATCH (sylvesterDirector:`director`)<-[:directed_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(sylvesterDirector.name)='sylvester stallone' 
RETURN language LIMIT 200
",[{'language': 'Burmese'}],matched,
what are the languages spoken in the movies acted by [Akshaye Khanna],Hindi|English,2,what are the languages spoken in the movies acted by [],"
MATCH (akshayeActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(akshayeActor.name)='akshaye khanna' 
RETURN language LIMIT 200
","[{'language': 'Hindi'}, {'language': 'English'}]",matched,
the actor [Niki Karimi] starred together with who,Carlo Ninchi|Eleonora Brown|Sophia Loren,2,the actor [] starred together with who,"
MATCH (niki:`actor`)<-[:starred_actors]-(movie:`movie`)-[:starred_actors]->(coActor:`actor`) 
WHERE toLower(niki.name)='niki karimi' 
AND niki <> coActor 
RETURN coActor LIMIT 200
","[{'coActor': 'Carlo Ninchi'}, {'coActor': 'Eleonora Brown'}, {'coActor': 'Sophia Loren'}]",matched,
which person directed the films written by [Stephan Talty],Paul Greengrass,2,which person directed the films written by [],"
MATCH (stephanWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:directed_by]->(director:`director`) 
WHERE toLower(stephanWriter.name)='stephan talty' 
RETURN director LIMIT 200
",[{'director': 'Paul Greengrass'}],matched,
what are the genres of the films directed by [William Keighley],Drama|Horror|Comedy|Adventure|Crime,2,what are the genres of the films directed by [],"
MATCH (williamDirector:`director`)<-[:directed_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(williamDirector.name)='william keighley' 
RETURN genre LIMIT 200
","[{'genre': 'Comedy'}, {'genre': 'Comedy'}, {'genre': 'Horror'}, {'genre': 'Comedy'}, {'genre': 'Comedy'}, {'genre': 'Crime'}, {'genre': 'Drama'}, {'genre': 'Adventure'}]",matched,
what languages are the films written by [Alex Rose] in,English,2,what languages are the films written by [] in,"
MATCH (alexWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(alexWriter.name)='alex rose' 
RETURN language LIMIT 200
",[{'language': 'English'}],matched,
when were the movies directed by [Masanori Hata] released,1986,2,when were the movies directed by [] released,"
MATCH (masanoriDirector:`director`)<-[:directed_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(masanoriDirector.name)='masanori hata' 
RETURN movie.name, year LIMIT 200
","[{'movie.name': 'The Adventures of Milo and Otis', 'year': '1986'}]",matched,
what are the primary languages in the films written by [Boris Vian],French,2,what are the primary languages in the films written by [],"
MATCH (borisWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(borisWriter.name)='boris vian' 
RETURN language LIMIT 200
",[{'language': 'French'}],matched,
who wrote movies together with [Alex Raymond],Michael Allin,2,who wrote movies together with [],"
MATCH (alexWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:written_by]->(otherWriter:`writer`) 
WHERE toLower(alexWriter.name)='alex raymond' 
AND alexWriter <> otherWriter 
RETURN otherWriter  
",[{'otherWriter': 'Michael Allin'}],matched,
who wrote the screenplay for the movies directed by [Peter Chelsom],Tinker Lindsay|Marc Klein|Maria von Heland|Adrian Dunbar|Peter Flannery|Rodman Philbrick|François Lelord,2,who wrote the screenplay for the movies directed by [],"
MATCH (peterDirector:`director`)<-[:directed_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:written_by]->(screenplayWriter:`writer`) 
WHERE toLower(peterDirector.name)='peter chelsom' 
RETURN screenplayWriter LIMIT 200
","[{'screenplayWriter': 'Rodman Philbrick'}, {'screenplayWriter': 'Peter Flannery'}, {'screenplayWriter': 'Peter Chelsom'}, {'screenplayWriter': 'Marc Klein'}, {'screenplayWriter': 'Adrian Dunbar'}, {'screenplayWriter': 'Peter Chelsom'}, {'screenplayWriter': 'François Lelord'}, {'screenplayWriter': 'Tinker Lindsay'}, {'screenplayWriter': 'Maria von Heland'}, {'screenplayWriter': 'Peter Chelsom'}]",matched,
the movies directed by [Bernhard Wicki] starred who,Marlon Brando|Yul Brynner|Paolo Stoppa|Janet Margolin|Paul Anka|Trevor Howard|Irina Demick|Ingrid Bergman|Arletty|Anthony Quinn,2,the movies directed by [] starred who,"
MATCH (wickiDirector:`director`)<-[:directed_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:starred_actors]->(actor:`actor`) 
WHERE toLower(wickiDirector.name)='bernhard wicki' 
RETURN actor LIMIT 200
","[{'actor': 'Irina Demick'}, {'actor': 'Paolo Stoppa'}, {'actor': 'Anthony Quinn'}, {'actor': 'Ingrid Bergman'}, {'actor': 'Paul Anka'}, {'actor': 'Arletty'}, {'actor': 'Janet Margolin'}, {'actor': 'Yul Brynner'}, {'actor': 'Trevor Howard'}, {'actor': 'Marlon Brando'}]",matched,
the director of [Shallow Grave] also directed which films,127 Hours|Trance|The Beach|Slumdog Millionaire|Sunshine|Vacuuming Completely Nude in Paradise|Trainspotting|A Life Less Ordinary|Millions,2,the director of [] also directed which films,"
MATCH (shallowMovie:`movie`)-[:directed_by]->(director:`director`) 
MATCH (director:`director`)<-[:directed_by]-(otherMovie:`movie`) 
WHERE toLower(shallowMovie.name)='shallow grave' 
AND shallowMovie <> otherMovie 
RETURN otherMovie LIMIT 200
","[{'otherMovie': '127 Hours'}, {'otherMovie': 'The Beach'}, {'otherMovie': 'Slumdog Millionaire'}, {'otherMovie': 'Trainspotting'}, {'otherMovie': 'Sunshine'}, {'otherMovie': 'A Life Less Ordinary'}, {'otherMovie': 'Millions'}, {'otherMovie': 'Vacuuming Completely Nude in Paradise'}, {'otherMovie': 'Trance'}]",matched,
the movies directed by [George Archainbaud] were written by who,Gerald Geraghty,2,the movies directed by [] were written by who,"
MATCH (georgeDirector:`director`)<-[:directed_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:written_by]->(writer:`writer`) 
WHERE toLower(georgeDirector.name)='george archainbaud' 
RETURN writer LIMIT 200
",[{'writer': 'Gerald Geraghty'}],matched,
the films written by [James Hilton] were in which genres,Drama|Fantasy|Musical|Thriller|War,2,the films written by [] were in which genres,"
MATCH (jamesWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(jamesWriter.name)='james hilton' 
RETURN genre  
","[{'genre': 'Musical'}, {'genre': 'Musical'}, {'genre': 'Drama'}, {'genre': 'Drama'}, {'genre': 'Drama'}, {'genre': 'Thriller'}, {'genre': 'Thriller'}, {'genre': 'War'}, {'genre': 'Fantasy'}]",matched,
the movies written by [David Elfick] were directed by who,Phillip Noyce,2,the movies written by [] were directed by who,"
MATCH (davidWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:directed_by]->(director:`director`) 
WHERE toLower(davidWriter.name)='david elfick' 
RETURN director  
",[{'director': 'Phillip Noyce'}],matched,
what were the release years of the movies written by [Thomas Mitchell],1944,2,what were the release years of the movies written by [],"
MATCH (thomasWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(thomasWriter.name)='thomas mitchell' 
RETURN year LIMIT 200
",[{'year': '1944'}],matched,
what languages are the movies acted by [Michael Madsen] in,Japanese|French,2,what languages are the movies acted by [] in,"
MATCH (michaelActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(michaelActor.name)='michael madsen' 
RETURN language LIMIT 200
","[{'language': 'French'}, {'language': 'Japanese'}]",matched,
which movies share the same director of [Murmur of the Heart],"Alamo Bay|The Lovers|Black Moon|Elevator to the Gallows|Pretty Baby|Viva Maria!|The Fire Within|Atlantic City|Damage|Vanya on 42nd Street|Spirits of the Dead|My Dinner with Andre|May Fools|Lacombe, Lucien|Crackers|The Thief of Paris",2,which movies share the same director of [],"
MATCH (murmurMovie:`movie`)-[:directed_by]->(director:`director`) 
MATCH (director:`director`)<-[:directed_by]-(otherMovie:`movie`) 
WHERE toLower(murmurMovie.name)='murmur of the heart' 
AND murmurMovie <> otherMovie 
RETURN otherMovie LIMIT 200
","[{'otherMovie': 'Atlantic City'}, {'otherMovie': 'The Thief of Paris'}, {'otherMovie': 'Elevator to the Gallows'}, {'otherMovie': 'Viva Maria!'}, {'otherMovie': 'Crackers'}, {'otherMovie': 'Vanya on 42nd Street'}, {'otherMovie': 'Alamo Bay'}, {'otherMovie': 'Pretty Baby'}, {'otherMovie': 'The Fire Within'}, {'otherMovie': 'Black Moon'}, {'otherMovie': 'The Lovers'}, {'otherMovie': 'May Fools'}, {'otherMovie': 'Damage'}, {'otherMovie': 'My Dinner with Andre'}, {'otherMovie': 'Lacombe, Lucien'}, {'otherMovie': 'Spirits of the Dead'}]",matched,
the scriptwriter of [The Whisperers] also wrote movies,Chaplin|The Naked Face|Hopscotch|The L-Shaped Room|King Rat|Only Two Can Play|The League of Gentlemen|The Angry Silence,2,the scriptwriter of [] also wrote movies,"
MATCH (whisperersMovie:`movie`)-[:written_by]->(writer:`writer`) 
MATCH (writer:`writer`)<-[:written_by]-(otherMovie:`movie`) 
WHERE toLower(whisperersMovie.name)='the whisperers' 
AND whisperersMovie <> otherMovie 
RETURN otherMovie LIMIT 200
","[{'otherMovie': 'The L-Shaped Room'}, {'otherMovie': 'Only Two Can Play'}, {'otherMovie': 'The Angry Silence'}, {'otherMovie': 'The Naked Face'}, {'otherMovie': 'Hopscotch'}, {'otherMovie': 'King Rat'}, {'otherMovie': 'Chaplin'}, {'otherMovie': 'The League of Gentlemen'}]",matched,
what were the release years the films written by [Irma von Cube],1948|1968|1936,2,what were the release years the films written by [],"
MATCH (irmaWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(irmaWriter.name)='irma von cube' 
RETURN year LIMIT 200
","[{'year': '1948'}, {'year': '1968'}, {'year': '1936'}]",matched,
who are the actors of the director [Bill Murray],Bob Elliott|Geena Davis,2,who are the actors of the director [],"
MATCH (billDirector:`director`)<-[:directed_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:starred_actors]->(actor:`actor`) 
WHERE toLower(billDirector.name)='bill murray' 
RETURN actor LIMIT 200
","[{'actor': 'Bob Elliott'}, {'actor': 'Geena Davis'}, {'actor': 'Bill Murray'}]",matched,
what are the movies that have the same screenwriter of [The Cowboy and the Lady],"Interrupted Melody|The Valley of Decision|Cavalcade|Going My Way|Rally 'Round the Flag, Boys!|Bhowani Junction|Love Affair|An Affair to Remember|My Son John|Quo Vadis|The Bells of St. Mary's|Once Upon a Honeymoon|My Favorite Wife|Satan Never Sleeps|In Old Chicago|Fanny",2,what are the movies that have the same screenwriter of [],"
MATCH (cowboyMovie:`movie`)-[:written_by]->(screenwriter:`writer`) 
MATCH (screenwriter:`writer`)<-[:written_by]-(otherMovie:`movie`) 
WHERE toLower(cowboyMovie.name)='the cowboy and the lady' 
AND cowboyMovie <> otherMovie 
RETURN otherMovie LIMIT 200
","[{'otherMovie': 'Fanny'}, {'otherMovie': 'In Old Chicago'}, {'otherMovie': 'The Valley of Decision'}, {'otherMovie': 'Bhowani Junction'}, {'otherMovie': 'Quo Vadis'}, {'otherMovie': 'Interrupted Melody'}, {'otherMovie': 'Cavalcade'}, {'otherMovie': 'My Son John'}, {'otherMovie': 'Satan Never Sleeps'}, {'otherMovie': 'An Affair to Remember'}, {'otherMovie': 'Going My Way'}, {'otherMovie': 'Love Affair'}, {'otherMovie': 'Once Upon a Honeymoon'}, {'otherMovie': ""Rally 'Round the Flag, Boys!""}, {'otherMovie': ""The Bells of St. Mary's""}, {'otherMovie': 'My Favorite Wife'}]",matched,
the movies written by [Michael Cuesta] starred who,Paul Dano,2,the movies written by [] starred who,"
MATCH (michaelWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:starred_actors]->(actor:`actor`) 
WHERE toLower(michaelWriter.name)='michael cuesta' 
RETURN actor LIMIT 200
",[{'actor': 'Paul Dano'}],matched,
who starred together with [Heidi Kling],Jeffrey Jones|Matthew Broderick|John C. Reilly,2,who starred together with [],"
MATCH (heidi:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:starred_actors]->(coActor:`actor`) 
WHERE toLower(heidi.name)='heidi kling' 
AND heidi <> coActor 
RETURN coActor LIMIT 200
","[{'coActor': 'Jeffrey Jones'}, {'coActor': 'John C. Reilly'}, {'coActor': 'Matthew Broderick'}]",matched,
what are the primary languages in the films directed by [Alexandre Aja],French,2,what are the primary languages in the films directed by [],"
MATCH (ajaDirector:`director`)<-[:directed_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(ajaDirector.name)='alexandre aja' 
RETURN language LIMIT 200
",[{'language': 'French'}],matched,
when did the movies written by [Trace Slobotkin] release,2007,2,when did the movies written by [] release,"
MATCH (traceWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(traceWriter.name)='trace slobotkin' 
RETURN movie.name, year LIMIT 200
","[{'movie.name': ""Kickin' It Old Skool"", 'year': '2007'}]",matched,
the films written by [Jack Cowden] starred which actors,Elijah Wood|Paul Hogan,2,the films written by [] starred which actors,"
MATCH (jackWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:starred_actors]->(actor:`actor`) 
WHERE toLower(jackWriter.name)='jack cowden' 
RETURN actor  
","[{'actor': 'Paul Hogan'}, {'actor': 'Elijah Wood'}]",matched,
which movies have the same director of [It's a Boy Girl Thing],Little Black Book|Virtual Sexuality,2,which movies have the same director of [],"
MATCH (itsMovie:`movie`)-[:directed_by]->(director:`director`) 
MATCH (director:`director`)<-[:directed_by]-(otherMovie:`movie`) 
WHERE toLower(itsMovie.name)=""it's a boy girl thing"" 
AND itsMovie <> otherMovie 
RETURN otherMovie LIMIT 200
","[{'otherMovie': 'Virtual Sexuality'}, {'otherMovie': 'Little Black Book'}]",matched,
who are the writers of the movies acted by [Daniel J. Travanti],John Varley,2,who are the writers of the movies acted by [],"
MATCH (danielActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:written_by]->(writer:`writer`) 
WHERE toLower(danielActor.name)='daniel j. travanti' 
RETURN writer LIMIT 200
",[{'writer': 'John Varley'}],matched,
